"year","party_simplified","candidatevotes","totalvotes","VAP","VEP","Turnout","Turnout_Percent_VAP","Turnout_Percent_VEP","state","category","Demographic subgroup","% oftotal vote","vote_percentage"
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Ideology","Liberals",0.24,0.89
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Ideology","Moderates",0.38,0.64
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Ideology","Conservatives",0.38,0.14
2020,"REPUBLICAN",74216146,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Ideology","Liberals",0.24,0.1
2020,"REPUBLICAN",74216146,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Ideology","Moderates",0.38,0.34
2020,"REPUBLICAN",74216146,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Ideology","Conservatives",0.38,0.85
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender","Men",0.48,0.45
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender","Women",0.52,0.57
2020,"REPUBLICAN",74216146,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender","Men",0.48,0.53
2020,"REPUBLICAN",74216146,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender","Women",0.52,0.42
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender by marital status","Married men",0.3,0.43
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender by marital status","Married women",0.26,0.48
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender by marital status","Unmarried men",0.2,0.52
2020,"DEMOCRAT",81268908,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender by marital status","Unmarried women",0.23,0.62
2020,"REPUBLICAN",74216146,158528503,12865974000,12272050593,8079827286,0.63,0.66,"NATIONAL","Gender by marital status","Married men",0.3,0.55
