"year","state","state_po","party_simplified","candidatevotes","totalvotes","VAP","VEP","Turnout","Turnout_Percent_VAP","Turnout_Percent_VEP"
1976,"ALABAMA","AL","DEMOCRAT",659170,1182850,152308000,148911215,81603346,0.536,0.548
1976,"ALABAMA","AL","OTHERS",19610,1182850,152308000,148911215,81603346,0.536,0.548
1976,"ALABAMA","AL","REPUBLICAN",504070,1182850,152308000,148911215,81603346,0.536,0.548
1976,"ALASKA","AK","DEMOCRAT",44058,123574,152308000,148911215,81603346,0.536,0.548
1976,"ALASKA","AK","OTHERS",7961,123574,152308000,148911215,81603346,0.536,0.548
1976,"ALASKA","AK","REPUBLICAN",71555,123574,152308000,148911215,81603346,0.536,0.548
1976,"ARIZONA","AZ","DEMOCRAT",295602,742719,152308000,148911215,81603346,0.536,0.548
1976,"ARIZONA","AZ","OTHERS",28475,742719,152308000,148911215,81603346,0.536,0.548
1976,"ARIZONA","AZ","REPUBLICAN",418642,742719,152308000,148911215,81603346,0.536,0.548
1976,"ARKANSAS","AR","DEMOCRAT",498604,767535,152308000,148911215,81603346,0.536,0.548
1976,"ARKANSAS","AR","OTHERS",1028,767535,152308000,148911215,81603346,0.536,0.548
1976,"ARKANSAS","AR","REPUBLICAN",267903,767535,152308000,148911215,81603346,0.536,0.548
1976,"CALIFORNIA","CA","DEMOCRAT",3742284,7803770,152308000,148911215,81603346,0.536,0.548
1976,"CALIFORNIA","CA","OTHERS",179242,7803770,152308000,148911215,81603346,0.536,0.548
1976,"CALIFORNIA","CA","REPUBLICAN",3882244,7803770,152308000,148911215,81603346,0.536,0.548
1976,"COLORADO","CO","DEMOCRAT",460801,1081440,152308000,148911215,81603346,0.536,0.548
1976,"COLORADO","CO","OTHERS",36361,1081440,152308000,148911215,81603346,0.536,0.548
1976,"COLORADO","CO","REPUBLICAN",584278,1081440,152308000,148911215,81603346,0.536,0.548
1976,"CONNECTICUT","CT","DEMOCRAT",647895,1386355,152308000,148911215,81603346,0.536,0.548
1976,"CONNECTICUT","CT","OTHERS",19199,1386355,152308000,148911215,81603346,0.536,0.548
1976,"CONNECTICUT","CT","REPUBLICAN",719261,1386355,152308000,148911215,81603346,0.536,0.548
1976,"DELAWARE","DE","DEMOCRAT",122461,235642,152308000,148911215,81603346,0.536,0.548
1976,"DELAWARE","DE","OTHERS",3401,235642,152308000,148911215,81603346,0.536,0.548
1976,"DELAWARE","DE","REPUBLICAN",109780,235642,152308000,148911215,81603346,0.536,0.548
1976,"DISTRICT OF COLUMBIA","DC","DEMOCRAT",137818,168830,152308000,148911215,81603346,0.536,0.548
1976,"DISTRICT OF COLUMBIA","DC","OTHERS",3139,168830,152308000,148911215,81603346,0.536,0.548
1976,"DISTRICT OF COLUMBIA","DC","REPUBLICAN",27873,168830,152308000,148911215,81603346,0.536,0.548
1976,"FLORIDA","FL","DEMOCRAT",1636000,3150631,152308000,148911215,81603346,0.536,0.548
1976,"FLORIDA","FL","OTHERS",45100,3150631,152308000,148911215,81603346,0.536,0.548
1976,"FLORIDA","FL","REPUBLICAN",1469531,3150631,152308000,148911215,81603346,0.536,0.548
1976,"GEORGIA","GA","DEMOCRAT",979409,1463152,152308000,148911215,81603346,0.536,0.548
1976,"GEORGIA","GA","REPUBLICAN",483743,1463152,152308000,148911215,81603346,0.536,0.548
1976,"HAWAII","HI","DEMOCRAT",147375,291301,152308000,148911215,81603346,0.536,0.548
1976,"HAWAII","HI","OTHERS",3923,291301,152308000,148911215,81603346,0.536,0.548
1976,"HAWAII","HI","REPUBLICAN",140003,291301,152308000,148911215,81603346,0.536,0.548
1976,"IDAHO","ID","DEMOCRAT",126549,340932,152308000,148911215,81603346,0.536,0.548
1976,"IDAHO","ID","OTHERS",10232,340932,152308000,148911215,81603346,0.536,0.548
1976,"IDAHO","ID","REPUBLICAN",204151,340932,152308000,148911215,81603346,0.536,0.548
1976,"ILLINOIS","IL","DEMOCRAT",2271295,4721282,152308000,148911215,81603346,0.536,0.548
1976,"ILLINOIS","IL","OTHERS",85718,4721282,152308000,148911215,81603346,0.536,0.548
1976,"ILLINOIS","IL","REPUBLICAN",2364269,4721282,152308000,148911215,81603346,0.536,0.548
1976,"INDIANA","IN","DEMOCRAT",1014714,2220362,152308000,148911215,81603346,0.536,0.548
1976,"INDIANA","IN","OTHERS",21690,2220362,152308000,148911215,81603346,0.536,0.548
1976,"INDIANA","IN","REPUBLICAN",1183958,2220362,152308000,148911215,81603346,0.536,0.548
1976,"IOWA","IA","DEMOCRAT",619931,1279303,152308000,148911215,81603346,0.536,0.548
1976,"IOWA","IA","OTHERS",26508,1279303,152308000,148911215,81603346,0.536,0.548
1976,"IOWA","IA","REPUBLICAN",632864,1279303,152308000,148911215,81603346,0.536,0.548
1976,"KANSAS","KS","DEMOCRAT",430421,957845,152308000,148911215,81603346,0.536,0.548
1976,"KANSAS","KS","OTHERS",24672,957845,152308000,148911215,81603346,0.536,0.548
1976,"KANSAS","KS","REPUBLICAN",502752,957845,152308000,148911215,81603346,0.536,0.548
1976,"KENTUCKY","KY","DEMOCRAT",615717,1167142,152308000,148911215,81603346,0.536,0.548
1976,"KENTUCKY","KY","OTHERS",19573,1167142,152308000,148911215,81603346,0.536,0.548
1976,"KENTUCKY","KY","REPUBLICAN",531852,1167142,152308000,148911215,81603346,0.536,0.548
1976,"LOUISIANA","LA","DEMOCRAT",661365,1277383,152308000,148911215,81603346,0.536,0.548
1976,"LOUISIANA","LA","OTHERS",28572,1277383,152308000,148911215,81603346,0.536,0.548
1976,"LOUISIANA","LA","REPUBLICAN",587446,1277383,152308000,148911215,81603346,0.536,0.548
1976,"MAINE","ME","DEMOCRAT",232279,482968,152308000,148911215,81603346,0.536,0.548
1976,"MAINE","ME","OTHERS",14369,482968,152308000,148911215,81603346,0.536,0.548
1976,"MAINE","ME","REPUBLICAN",236320,482968,152308000,148911215,81603346,0.536,0.548
1976,"MARYLAND","MD","DEMOCRAT",759612,1432273,152308000,148911215,81603346,0.536,0.548
1976,"MARYLAND","MD","REPUBLICAN",672661,1432273,152308000,148911215,81603346,0.536,0.548
1976,"MASSACHUSETTS","MA","DEMOCRAT",1429475,2547558,152308000,148911215,81603346,0.536,0.548
1976,"MASSACHUSETTS","MA","OTHERS",87807,2547558,152308000,148911215,81603346,0.536,0.548
1976,"MASSACHUSETTS","MA","REPUBLICAN",1030276,2547558,152308000,148911215,81603346,0.536,0.548
1976,"MICHIGAN","MI","DEMOCRAT",1696714,3651590,152308000,148911215,81603346,0.536,0.548
1976,"MICHIGAN","MI","OTHERS",61134,3651590,152308000,148911215,81603346,0.536,0.548
1976,"MICHIGAN","MI","REPUBLICAN",1893742,3651590,152308000,148911215,81603346,0.536,0.548
1976,"MINNESOTA","MN","DEMOCRAT",1070440,1949931,152308000,148911215,81603346,0.536,0.548
1976,"MINNESOTA","MN","OTHERS",60096,1949931,152308000,148911215,81603346,0.536,0.548
1976,"MINNESOTA","MN","REPUBLICAN",819395,1949931,152308000,148911215,81603346,0.536,0.548
1976,"MISSISSIPPI","MS","DEMOCRAT",381329,768390,152308000,148911215,81603346,0.536,0.548
1976,"MISSISSIPPI","MS","OTHERS",20215,768390,152308000,148911215,81603346,0.536,0.548
1976,"MISSISSIPPI","MS","REPUBLICAN",366846,768390,152308000,148911215,81603346,0.536,0.548
1976,"MISSOURI","MO","DEMOCRAT",998387,1953600,152308000,148911215,81603346,0.536,0.548
1976,"MISSOURI","MO","OTHERS",27770,1953600,152308000,148911215,81603346,0.536,0.548
1976,"MISSOURI","MO","REPUBLICAN",927443,1953600,152308000,148911215,81603346,0.536,0.548
1976,"MONTANA","MT","DEMOCRAT",149259,328734,152308000,148911215,81603346,0.536,0.548
1976,"MONTANA","MT","OTHERS",5772,328734,152308000,148911215,81603346,0.536,0.548
1976,"MONTANA","MT","REPUBLICAN",173703,328734,152308000,148911215,81603346,0.536,0.548
1976,"NEBRASKA","NE","DEMOCRAT",233293,606749,152308000,148911215,81603346,0.536,0.548
1976,"NEBRASKA","NE","OTHERS",14237,606749,152308000,148911215,81603346,0.536,0.548
1976,"NEBRASKA","NE","REPUBLICAN",359219,606749,152308000,148911215,81603346,0.536,0.548
1976,"NEVADA","NV","DEMOCRAT",92479,201876,152308000,148911215,81603346,0.536,0.548
1976,"NEVADA","NV","OTHERS",8124,201876,152308000,148911215,81603346,0.536,0.548
1976,"NEVADA","NV","REPUBLICAN",101273,201876,152308000,148911215,81603346,0.536,0.548
1976,"NEW HAMPSHIRE","NH","DEMOCRAT",147645,339627,152308000,148911215,81603346,0.536,0.548
1976,"NEW HAMPSHIRE","NH","OTHERS",6047,339627,152308000,148911215,81603346,0.536,0.548
1976,"NEW HAMPSHIRE","NH","REPUBLICAN",185935,339627,152308000,148911215,81603346,0.536,0.548
1976,"NEW JERSEY","NJ","DEMOCRAT",1444653,3014472,152308000,148911215,81603346,0.536,0.548
1976,"NEW JERSEY","NJ","OTHERS",60131,3014472,152308000,148911215,81603346,0.536,0.548
1976,"NEW JERSEY","NJ","REPUBLICAN",1509688,3014472,152308000,148911215,81603346,0.536,0.548
1976,"NEW MEXICO","NM","DEMOCRAT",201148,416590,152308000,148911215,81603346,0.536,0.548
1976,"NEW MEXICO","NM","OTHERS",4023,416590,152308000,148911215,81603346,0.536,0.548
1976,"NEW MEXICO","NM","REPUBLICAN",211419,416590,152308000,148911215,81603346,0.536,0.548
1976,"NEW YORK","NY","DEMOCRAT",3244165,6668262,152308000,148911215,81603346,0.536,0.548
1976,"NEW YORK","NY","OTHERS",598184,6668262,152308000,148911215,81603346,0.536,0.548
1976,"NEW YORK","NY","REPUBLICAN",2825913,6668262,152308000,148911215,81603346,0.536,0.548
1976,"NORTH CAROLINA","NC","DEMOCRAT",927365,1677906,152308000,148911215,81603346,0.536,0.548
1976,"NORTH CAROLINA","NC","OTHERS",8581,1677906,152308000,148911215,81603346,0.536,0.548
1976,"NORTH CAROLINA","NC","REPUBLICAN",741960,1677906,152308000,148911215,81603346,0.536,0.548
1976,"NORTH DAKOTA","ND","DEMOCRAT",136078,297308,152308000,148911215,81603346,0.536,0.548
1976,"NORTH DAKOTA","ND","OTHERS",7546,297308,152308000,148911215,81603346,0.536,0.548
1976,"NORTH DAKOTA","ND","REPUBLICAN",153684,297308,152308000,148911215,81603346,0.536,0.548
1976,"OHIO","OH","DEMOCRAT",2009959,4110456,152308000,148911215,81603346,0.536,0.548
1976,"OHIO","OH","OTHERS",99871,4110456,152308000,148911215,81603346,0.536,0.548
1976,"OHIO","OH","REPUBLICAN",2000626,4110456,152308000,148911215,81603346,0.536,0.548
1976,"OKLAHOMA","OK","DEMOCRAT",532442,1092251,152308000,148911215,81603346,0.536,0.548
1976,"OKLAHOMA","OK","OTHERS",14101,1092251,152308000,148911215,81603346,0.536,0.548
1976,"OKLAHOMA","OK","REPUBLICAN",545708,1092251,152308000,148911215,81603346,0.536,0.548
1976,"OREGON","OR","DEMOCRAT",490407,1029876,152308000,148911215,81603346,0.536,0.548
1976,"OREGON","OR","OTHERS",47349,1029876,152308000,148911215,81603346,0.536,0.548
1976,"OREGON","OR","REPUBLICAN",492120,1029876,152308000,148911215,81603346,0.536,0.548
1976,"PENNSYLVANIA","PA","DEMOCRAT",2328677,4620787,152308000,148911215,81603346,0.536,0.548
1976,"PENNSYLVANIA","PA","OTHERS",86506,4620787,152308000,148911215,81603346,0.536,0.548
1976,"PENNSYLVANIA","PA","REPUBLICAN",2205604,4620787,152308000,148911215,81603346,0.536,0.548
1976,"RHODE ISLAND","RI","DEMOCRAT",227636,410584,152308000,148911215,81603346,0.536,0.548
1976,"RHODE ISLAND","RI","OTHERS",1699,410584,152308000,148911215,81603346,0.536,0.548
1976,"RHODE ISLAND","RI","REPUBLICAN",181249,410584,152308000,148911215,81603346,0.536,0.548
1976,"SOUTH CAROLINA","SC","DEMOCRAT",450807,802583,152308000,148911215,81603346,0.536,0.548
1976,"SOUTH CAROLINA","SC","OTHERS",5627,802583,152308000,148911215,81603346,0.536,0.548
1976,"SOUTH CAROLINA","SC","REPUBLICAN",346149,802583,152308000,148911215,81603346,0.536,0.548
1976,"SOUTH DAKOTA","SD","DEMOCRAT",147068,300678,152308000,148911215,81603346,0.536,0.548
1976,"SOUTH DAKOTA","SD","OTHERS",2105,300678,152308000,148911215,81603346,0.536,0.548
1976,"SOUTH DAKOTA","SD","REPUBLICAN",151505,300678,152308000,148911215,81603346,0.536,0.548
1976,"TENNESSEE","TN","DEMOCRAT",825879,1476346,152308000,148911215,81603346,0.536,0.548
1976,"TENNESSEE","TN","OTHERS",16498,1476346,152308000,148911215,81603346,0.536,0.548
1976,"TENNESSEE","TN","REPUBLICAN",633969,1476346,152308000,148911215,81603346,0.536,0.548
1976,"TEXAS","TX","DEMOCRAT",2082319,4071884,152308000,148911215,81603346,0.536,0.548
1976,"TEXAS","TX","OTHERS",36265,4071884,152308000,148911215,81603346,0.536,0.548
1976,"TEXAS","TX","REPUBLICAN",1953300,4071884,152308000,148911215,81603346,0.536,0.548
1976,"UTAH","UT","DEMOCRAT",182110,541218,152308000,148911215,81603346,0.536,0.548
1976,"UTAH","UT","OTHERS",21200,541218,152308000,148911215,81603346,0.536,0.548
1976,"UTAH","UT","REPUBLICAN",337908,541218,152308000,148911215,81603346,0.536,0.548
1976,"VERMONT","VT","DEMOCRAT",77798,183902,152308000,148911215,81603346,0.536,0.548
1976,"VERMONT","VT","OTHERS",5717,183902,152308000,148911215,81603346,0.536,0.548
1976,"VERMONT","VT","REPUBLICAN",100387,183902,152308000,148911215,81603346,0.536,0.548
1976,"VIRGINIA","VA","DEMOCRAT",813896,1697094,152308000,148911215,81603346,0.536,0.548
1976,"VIRGINIA","VA","OTHERS",46644,1697094,152308000,148911215,81603346,0.536,0.548
1976,"VIRGINIA","VA","REPUBLICAN",836554,1697094,152308000,148911215,81603346,0.536,0.548
1976,"WASHINGTON","WA","DEMOCRAT",717323,1555534,152308000,148911215,81603346,0.536,0.548
1976,"WASHINGTON","WA","OTHERS",60479,1555534,152308000,148911215,81603346,0.536,0.548
1976,"WASHINGTON","WA","REPUBLICAN",777732,1555534,152308000,148911215,81603346,0.536,0.548
1976,"WEST VIRGINIA","WV","DEMOCRAT",435864,750590,152308000,148911215,81603346,0.536,0.548
1976,"WEST VIRGINIA","WV","REPUBLICAN",314726,750590,152308000,148911215,81603346,0.536,0.548
1976,"WISCONSIN","WI","DEMOCRAT",1040232,2101336,152308000,148911215,81603346,0.536,0.548
1976,"WISCONSIN","WI","OTHERS",56117,2101336,152308000,148911215,81603346,0.536,0.548
1976,"WISCONSIN","WI","REPUBLICAN",1004987,2101336,152308000,148911215,81603346,0.536,0.548
1976,"WYOMING","WY","DEMOCRAT",62239,156343,152308000,148911215,81603346,0.536,0.548
1976,"WYOMING","WY","OTHERS",1387,156343,152308000,148911215,81603346,0.536,0.548
1976,"WYOMING","WY","REPUBLICAN",92717,156343,152308000,148911215,81603346,0.536,0.548
1980,"ALABAMA","AL","DEMOCRAT",636730,1341929,163945000,159635102,86496851,0.528,0.542
1980,"ALABAMA","AL","OTHERS",51007,1341929,163945000,159635102,86496851,0.528,0.542
1980,"ALABAMA","AL","REPUBLICAN",654192,1341929,163945000,159635102,86496851,0.528,0.542
1980,"ALASKA","AK","DEMOCRAT",41842,158445,163945000,159635102,86496851,0.528,0.542
1980,"ALASKA","AK","OTHERS",30491,158445,163945000,159635102,86496851,0.528,0.542
1980,"ALASKA","AK","REPUBLICAN",86112,158445,163945000,159635102,86496851,0.528,0.542
1980,"ARIZONA","AZ","DEMOCRAT",246843,873945,163945000,159635102,86496851,0.528,0.542
1980,"ARIZONA","AZ","OTHERS",97414,873945,163945000,159635102,86496851,0.528,0.542
1980,"ARIZONA","AZ","REPUBLICAN",529688,873945,163945000,159635102,86496851,0.528,0.542
1980,"ARKANSAS","AR","DEMOCRAT",398041,837582,163945000,159635102,86496851,0.528,0.542
1980,"ARKANSAS","AR","OTHERS",36377,837582,163945000,159635102,86496851,0.528,0.542
1980,"ARKANSAS","AR","REPUBLICAN",403164,837582,163945000,159635102,86496851,0.528,0.542
1980,"CALIFORNIA","CA","DEMOCRAT",3082943,8582938,163945000,159635102,86496851,0.528,0.542
1980,"CALIFORNIA","CA","OTHERS",977001,8582938,163945000,159635102,86496851,0.528,0.542
1980,"CALIFORNIA","CA","REPUBLICAN",4522994,8582938,163945000,159635102,86496851,0.528,0.542
1980,"COLORADO","CO","DEMOCRAT",368009,1184450,163945000,159635102,86496851,0.528,0.542
1980,"COLORADO","CO","OTHERS",164177,1184450,163945000,159635102,86496851,0.528,0.542
1980,"COLORADO","CO","REPUBLICAN",652264,1184450,163945000,159635102,86496851,0.528,0.542
1980,"CONNECTICUT","CT","DEMOCRAT",541732,1406285,163945000,159635102,86496851,0.528,0.542
1980,"CONNECTICUT","CT","OTHERS",187343,1406285,163945000,159635102,86496851,0.528,0.542
1980,"CONNECTICUT","CT","REPUBLICAN",677210,1406285,163945000,159635102,86496851,0.528,0.542
1980,"DELAWARE","DE","DEMOCRAT",105754,235668,163945000,159635102,86496851,0.528,0.542
1980,"DELAWARE","DE","OTHERS",18662,235668,163945000,159635102,86496851,0.528,0.542
1980,"DELAWARE","DE","REPUBLICAN",111252,235668,163945000,159635102,86496851,0.528,0.542
1980,"DISTRICT OF COLUMBIA","DC","DEMOCRAT",130231,173889,163945000,159635102,86496851,0.528,0.542
1980,"DISTRICT OF COLUMBIA","DC","OTHERS",20345,173889,163945000,159635102,86496851,0.528,0.542
1980,"DISTRICT OF COLUMBIA","DC","REPUBLICAN",23313,173889,163945000,159635102,86496851,0.528,0.542
1980,"FLORIDA","FL","DEMOCRAT",1419475,3686927,163945000,159635102,86496851,0.528,0.542
1980,"FLORIDA","FL","OTHERS",220501,3686927,163945000,159635102,86496851,0.528,0.542
1980,"FLORIDA","FL","REPUBLICAN",2046951,3686927,163945000,159635102,86496851,0.528,0.542
1980,"GEORGIA","GA","DEMOCRAT",890955,1596805,163945000,159635102,86496851,0.528,0.542
1980,"GEORGIA","GA","OTHERS",51682,1596805,163945000,159635102,86496851,0.528,0.542
1980,"GEORGIA","GA","REPUBLICAN",654168,1596805,163945000,159635102,86496851,0.528,0.542
1980,"HAWAII","HI","DEMOCRAT",135879,303287,163945000,159635102,86496851,0.528,0.542
1980,"HAWAII","HI","OTHERS",37296,303287,163945000,159635102,86496851,0.528,0.542
1980,"HAWAII","HI","REPUBLICAN",130112,303287,163945000,159635102,86496851,0.528,0.542
1980,"IDAHO","ID","DEMOCRAT",110192,437431,163945000,159635102,86496851,0.528,0.542
1980,"IDAHO","ID","OTHERS",36540,437431,163945000,159635102,86496851,0.528,0.542
1980,"IDAHO","ID","REPUBLICAN",290699,437431,163945000,159635102,86496851,0.528,0.542
1980,"ILLINOIS","IL","DEMOCRAT",1981413,4749721,163945000,159635102,86496851,0.528,0.542
1980,"ILLINOIS","IL","OTHERS",410259,4749721,163945000,159635102,86496851,0.528,0.542
1980,"ILLINOIS","IL","REPUBLICAN",2358049,4749721,163945000,159635102,86496851,0.528,0.542
1980,"INDIANA","IN","DEMOCRAT",844197,2242033,163945000,159635102,86496851,0.528,0.542
